Level,Year,Name,Depth,Indicator,Metric,Reference,Median,Lower,Upper,tn.reefs,n.below,Latitude,Longitude
GBRMP,2018,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.7403904579642386,0.7136654582231928,0.76444219129926,145,12,NA,NA
GBRMP,2019,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.4712199551291896,0.44522014990245423,0.49581955534962896,111,43,NA,NA
GBRMP,2019,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.4348315344210303,0.3761863396468498,0.4873749996276983,111,39,NA,NA
GBRMP,2019,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.509337068210131,0.4494080267000595,0.5724810336230732,111,11,NA,NA
GBRMP,2019,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.70277812907969,0.6794332234652424,0.7224261494120134,111,10,NA,NA
GBRMP,2020,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.492315117732946,0.4637058643902255,0.5223381931400541,138,44,NA,NA
GBRMP,2020,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.44797655415615606,0.38518851738145393,0.50586368788058,138,42,NA,NA
GBRMP,2020,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.49675038022867846,0.4355174474126399,0.5647905599732174,138,26,NA,NA
GBRMP,2020,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.6676350909019384,0.6459504919533136,0.6859493510732827,138,17,NA,NA
GBRMP,2021,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.5609172968532705,0.5345122536005862,0.5881076695331802,135,33,NA,NA
GBRMP,2021,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.49297112665396714,0.4251173132595796,0.5455515134036361,135,31,NA,NA
GBRMP,2021,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.4897264258310926,0.4382973759998812,0.5432280994875041,135,24,NA,NA
GBRMP,2021,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.6514293157301436,0.6334796735762624,0.6695239210770727,135,23,NA,NA
GBRMP,2022,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.5937903142746775,0.566912868160024,0.6229679768654123,139,29,NA,NA
GBRMP,2022,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.5173811621995494,0.4526620934232109,0.5750768382883962,139,30,NA,NA
GBRMP,2022,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.48626291495005425,0.4289316269664686,0.5350063531622993,139,25,NA,NA
GBRMP,2022,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.6586760839891048,0.6379042992394838,0.6782792923250806,139,23,NA,NA
GBRMP,2023,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.6104843381529954,0.5547371923084279,0.6647566368838467,48,5,NA,NA
GBRMP,2023,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.4815890615162281,0.3826336312510316,0.5682688757280171,48,12,NA,NA
GBRMP,2023,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.4800860618158432,0.37393402971085943,0.5861915010979329,55,13,NA,NA
GBRMP,2023,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.7622254070947015,0.7014357174923281,0.8230759207283961,55,1,NA,NA
GBRMPA.MA,2007,Cairns/Cooktown Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.614889205611721,0.5801894170372301,0.6526024029202924,36,5,NA,NA
GBRMPA.MA,2007,Cairns/Cooktown Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.5263682779775476,0.4249597700541295,0.6036003837874888,36,4,NA,NA
GBRMPA.MA,2007,Cairns/Cooktown Management Area,NA,Macroalgae,distance.metric,Baseline,0.6243603877280619,0.5071516837931755,0.7262289739129302,36,3,NA,NA
GBRMPA.MA,2007,Cairns/Cooktown Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.8662193506462541,0.8320202243784999,0.8891194473499885,36,1,NA,NA
GBRMPA.MA,2007,Mackay/Capricorn Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.817323293838198,0.7799807804500984,0.8562311758844573,29,1,NA,NA
GBRMPA.MA,2007,Mackay/Capricorn Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.6551837924298958,0.5862595136227919,0.7139709331124385,29,2,NA,NA
GBRMPA.MA,2007,Mackay/Capricorn Management Area,NA,Macroalgae,distance.metric,Baseline,0.57984218113138,0.5149298118675452,0.6378756984438644,29,6,NA,NA
GBRMPA.MA,2007,Mackay/Capricorn Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.5286503333449393,0.49208979758414007,0.5678257838178974,29,8,NA,NA
GBRMPA.MA,2007,Townsville/Whitsunday Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.6327525944309523,0.6031803121144517,0.6672470360880577,70,13,NA,NA
GBRMPA.MA,2007,Townsville/Whitsunday Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.5539854606353335,0.4828456036730987,0.6107161743770844,70,10,NA,NA
GBRMPA.MA,2007,Townsville/Whitsunday Management Area,NA,Macroalgae,distance.metric,Baseline,0.6131526309102,0.5312376035952957,0.6766897073026519,70,16,NA,NA
GBRMPA.MA,2007,Townsville/Whitsunday Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.7292945725270652,0.6735093735332226,0.7799822124284411,70,10,NA,NA
GBRMPA.MA,2008,Cairns/Cooktown Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.6589527313066098,0.6222494620323085,0.6918662499847051,26,3,NA,NA
GBRMPA.MA,2008,Cairns/Cooktown Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.5337245040028823,0.4406277328690616,0.6129847368522658,26,4,NA,NA
GBRMPA.MA,2008,Cairns/Cooktown Management Area,NA,Macroalgae,distance.metric,Baseline,0.4915964690064309,0.36921636447494366,0.6446317713494978,26,4,NA,NA
GBRMPA.MA,2008,Cairns/Cooktown Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.7732402531792295,0.7481853300836905,0.8002301108993969,26,2,NA,NA
GBRMPA.MA,2008,Mackay/Capricorn Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.7825006012970293,0.7382544078690342,0.8231251116383628,49,1,NA,NA
